Scanning market index (calendar + BSE code switch)...
Reading 129 selected market dates...
Deriving and validating BSE code mapping...
Reading monthly EP and industry cross-sections...
Building fixed-endpoint adjusted forward returns...
Building monthly regression samples...
Running monthly OLS...
OLS 2020-07-31 n=3,812 beta=0.00238886 t=1.008 r2=0.0898
OLS 2020-08-31 n=3,879 beta=-0.00436507 t=-2.309 r2=0.0540
OLS 2020-09-30 n=3,944 beta=0.00454244 t=2.086 r2=0.0572
OLS 2020-10-30 n=3,976 beta=-0.00007731 t=-0.039 r2=0.1196
OLS 2020-11-30 n=3,999 beta=-0.01074608 t=-4.314 r2=0.1760
OLS 2020-12-31 n=4,038 beta=0.00676887 t=3.133 r2=0.1389
OLS 2021-01-29 n=4,059 beta=-0.00018726 t=-0.107 r2=0.1245
OLS 2021-02-26 n=4,086 beta=0.00136788 t=0.721 r2=0.1781
OLS 2021-03-31 n=4,127 beta=-0.01459987 t=-5.870 r2=0.0877
OLS 2021-04-30 n=4,168 beta=-0.02033946 t=-9.174 r2=0.0618
OLS 2021-05-31 n=4,241 beta=-0.00959115 t=-4.346 r2=0.0740
OLS 2021-06-30 n=4,289 beta=-0.01154086 t=-3.893 r2=0.1898
OLS 2021-07-30 n=4,337 beta=0.00410921 t=1.717 r2=0.1546
OLS 2021-08-31 n=4,374 beta=0.00404409 t=1.998 r2=0.1648
OLS 2021-09-30 n=4,405 beta=-0.00635337 t=-3.299 r2=0.1135
OLS 2021-10-29 n=4,440 beta=0.00063991 t=0.266 r2=0.1622
OLS 2021-11-30 n=4,547 beta=0.01018872 t=4.524 r2=0.1619
OLS 2021-12-31 n=4,584 beta=0.01314154 t=8.340 r2=0.1222
OLS 2022-01-28 n=4,621 beta=-0.00686054 t=-4.164 r2=0.0636
OLS 2022-02-28 n=4,633 beta=0.00221658 t=1.166 r2=0.2444
OLS 2022-03-31 n=4,597 beta=0.00971602 t=5.181 r2=0.1509
OLS 2022-04-29 n=4,628 beta=-0.01383655 t=-7.469 r2=0.1467
OLS 2022-05-31 n=4,706 beta=-0.00722627 t=-3.643 r2=0.1015
OLS 2022-06-30 n=4,740 beta=-0.01097063 t=-5.398 r2=0.1847
OLS 2022-07-29 n=4,778 beta=0.00172935 t=1.051 r2=0.1432
OLS 2022-08-31 n=4,831 beta=0.00646505 t=4.657 r2=0.0708
OLS 2022-09-30 n=4,876 beta=-0.00420314 t=-2.305 r2=0.2695
OLS 2022-10-31 n=4,912 beta=-0.00208485 t=-1.241 r2=0.1627
OLS 2022-11-30 n=4,936 beta=-0.00413490 t=-2.972 r2=0.1126
OLS 2022-12-30 n=4,993 beta=0.00802408 t=6.197 r2=0.1505
OLS 2023-01-31 n=5,001 beta=0.00864875 t=6.548 r2=0.0925
OLS 2023-02-28 n=5,022 beta=0.00310689 t=1.883 r2=0.2722
OLS 2023-03-31 n=4,995 beta=0.00740239 t=3.848 r2=0.1725
OLS 2023-04-28 n=5,062 beta=0.00372596 t=2.483 r2=0.1974
OLS 2023-05-31 n=5,142 beta=-0.00302042 t=-2.084 r2=0.1503
OLS 2023-06-30 n=5,179 beta=-0.00450515 t=-3.375 r2=0.2526
OLS 2023-07-31 n=5,224 beta=0.00155271 t=1.264 r2=0.0885
OLS 2023-08-31 n=5,256 beta=-0.00443884 t=-3.011 r2=0.1125
OLS 2023-09-28 n=5,277 beta=-0.01412608 t=-10.692 r2=0.0867
OLS 2023-10-31 n=5,294 beta=0.01875300 t=9.835 r2=0.2015
OLS 2023-11-30 n=5,295 beta=0.02975142 t=14.819 r2=0.1729
OLS 2023-12-29 n=5,311 beta=0.01915347 t=14.524 r2=0.4010
OLS 2024-01-31 n=5,323 beta=0.01083896 t=7.242 r2=0.2729
OLS 2024-02-29 n=5,327 beta=-0.00373967 t=-2.030 r2=0.0751
OLS 2024-03-29 n=5,318 beta=0.02588036 t=14.694 r2=0.1483
OLS 2024-04-30 n=5,280 beta=0.01460880 t=10.641 r2=0.1195
OLS 2024-05-31 n=5,320 beta=0.01355443 t=10.011 r2=0.0749
OLS 2024-06-28 n=5,318 beta=-0.02259384 t=-13.255 r2=0.1082
OLS 2024-07-31 n=5,319 beta=-0.00769620 t=-5.090 r2=0.0602
OLS 2024-08-30 n=5,322 beta=-0.00863200 t=-3.123 r2=0.2200
OLS 2024-09-30 n=5,322 beta=-0.02167315 t=-8.073 r2=0.0631
OLS 2024-10-31 n=5,329 beta=-0.00285545 t=-1.089 r2=0.1363
OLS 2024-11-29 n=5,342 beta=0.01934754 t=10.234 r2=0.0897
OLS 2024-12-31 n=5,346 beta=0.01113734 t=7.909 r2=0.1612
OLS 2025-01-27 n=5,357 beta=-0.00812883 t=-3.895 r2=0.0926
OLS 2025-02-28 n=5,355 beta=0.01834322 t=10.866 r2=0.0934
OLS 2025-03-31 n=5,348 beta=-0.00744812 t=-4.461 r2=0.0712
OLS 2025-04-30 n=5,323 beta=-0.00639303 t=-3.718 r2=0.1485
OLS 2025-05-30 n=5,360 beta=-0.00516022 t=-3.154 r2=0.1276
OLS 2025-06-30 n=5,381 beta=0.00140722 t=0.707 r2=0.0758
OLS 2025-07-31 n=5,388 beta=-0.00682518 t=-3.009 r2=0.1284
OLS 2025-08-29 n=5,387 beta=0.00260670 t=1.272 r2=0.1202
OLS 2025-09-30 n=5,400 beta=-0.00363314 t=-2.319 r2=0.1052
OLS 2025-10-31 n=5,398 beta=-0.00779408 t=-4.615 r2=0.0394
OLS completed
months=64
ep_mean=0.0003028286
ep_iid_t=0.221366
ep_iid_p=0.825523
saved=D:\���Ӽ���\��ӯ��\EP����_������\�ع���\OLS_�¶�

[elapsed] 13.4 s
